No. of threads, Time elapsed(in ns)
6, 356613880
6, 327748222
6, 318997079
6, 301573788
6, 297222677
6, 291527768
6, 273643444
6, 268996235
6, 266295017
6, 260056562
6, 257751767
6, 255317691
6, 249486306
6, 244101505
6, 241525705
6, 239116971
6, 229009473
6, 226959722
6, 224984889
6, 220545865
6, 218628693
6, 216131614
6, 211675521
6, 193616891
6, 188492343
6, 185187711
6, 182488800
6, 177235071
6, 174847508
6, 172597490
6, 169654014
6, 166536881
6, 161388895
6, 158822246
6, 156512139
6, 152122009
6, 149682911
6, 146797686
6, 143776103
6, 124158828
6, 109179797
6, 107455001
6, 105650657
6, 103511066
6, 100795469
6, 98083706
6, 94998581
6, 91738629
6, 88954259
6, 85366736
6, 83671268
6, 81053724
6, 78721084
6, 75798844
6, 62803709
6, 49190947
6, 44405829
6, 42196907
6, 34003447
6, 30288394
6, 28044572
6, 25128005
6, 23118032
6, 21192352
6, 17911118
6, 14069526
6, 7685120
6, 5887889
6, 2833688
6, 998265803
6, 988572839
6, 986497448
6, 984095761
6, 978529480
6, 972482774
6, 970462469
6, 964813553
6, 958100341
6, 946946791
6, 937590415
